,,,,,,,,,,Month Year,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Total,Total,Total,Total,Total,Total,Total,Total
255,PC - 3,Alaine Kare,Level 7,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,30-06-2014,Active,,160,72,0.00,88.00,0.00,0.00,72.00,0.00%,184,176,65.00,8.00,0.00,0.00,111.00,36.93%,176,56,112.00,120.00,0.00,0.00,-56.00,200.00%,168,2,56.00,166.00,0.00,0.00,-22.00,"2,800.00%",184,32,4.00,152.00,0.00,0.00,28.00,12.50%,168,168,192.00,0.00,0.00,0.00,-24.00,114.29%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,112.00,40.00,0.00,0.00,16.00,87.50%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,160,160,96.00,0.00,0.00,0.00,64.00,60.00%,176,176,136.00,0.00,0.00,0.00,40.00,77.27%,"2,080",1506,"1,309.00",574.00,0.00,0.00,229.00,86.92%
257,PC - 3,Fleur Wallis,Level 7,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,30-06-2014,Active,,160,160,280.00,0.00,0.00,0.00,0.00,175.00%,184,144,120.00,40.00,0.00,0.00,0.00,83.33%,176,152,40.00,8.00,16.00,0.00,176.00,26.32%,168,168,226.00,0.00,0.00,0.00,0.00,134.52%,184,104,80.00,80.00,0.00,0.00,32.00,76.92%,168,168,114.00,0.00,0.00,0.00,48.00,67.86%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,136,96.00,40.00,0.00,0.00,40.00,70.59%,"2,080",1840,"1,764.00",224.00,16.00,0.00,296.00,95.87%
258,PC - 3,Beryl Elysia,Level 7,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,30-06-2014,Active,,160,152,60.00,8.00,0.00,0.00,92.00,39.47%,184,160,200.00,24.00,0.00,0.00,-40.00,125.00%,176,168,160.00,8.00,0.00,0.00,8.00,95.24%,168,168,152.00,0.00,0.00,0.00,72.00,90.48%,184,144,144.00,40.00,0.00,0.00,0.00,100.00%,168,160,120.00,8.00,0.00,0.00,40.00,75.00%,176,152,112.00,24.00,0.00,0.00,40.00,73.68%,176,136,216.00,40.00,0.00,0.00,0.00,158.82%,168,128,134.00,40.00,0.00,0.00,0.00,104.69%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,160,156,156.00,4.00,0.00,0.00,0.00,100.00%,176,94.5,72.00,80.00,1.50,0.00,24.00,76.19%,"2,080",1778.5,"1,686.00",300.00,1.50,0.00,236.00,94.80%
259,PC - 3,Mara Gusella,Level 6,Location 1,Client Service Staff,Confirmed Staff,Kristina Alleen,30-06-2014,Active,,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,184,166,148.00,16.00,2.00,0.00,54.00,89.16%,176,128,144.00,32.00,16.00,0.00,16.00,112.50%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,184,152,80.00,32.00,0.00,0.00,72.00,52.63%,168,168,240.00,0.00,0.00,0.00,-72.00,142.86%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,136,96.00,24.00,0.00,0.00,40.00,70.59%,176,128,96.00,48.00,0.00,0.00,32.00,75.00%,"2,080",1838,"1,764.00",224.00,18.00,0.00,142.00,95.97%
260,PC - 3,Kerry Noelani,Level 7,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,30-06-2014,Active,,160,160,40.00,0.00,0.00,0.00,120.00,25.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,168,174.00,0.00,0.00,0.00,-6.00,103.57%,184,64,0.00,120.00,0.00,0.00,64.00,0.00%,168,168,104.00,0.00,0.00,0.00,64.00,61.90%,176,160,232.00,16.00,0.00,0.00,0.00,145.00%,176,176,192.00,0.00,0.00,0.00,0.00,109.09%,168,120,120.00,48.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,"2,080",1872,"1,542.00",208.00,0.00,0.00,418.00,82.37%
261,PC - 3,Merlina Anetta,Level 7,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,30-06-2014,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,168,149,152.00,16.00,3.00,0.00,0.00,102.01%,184,58,64.00,120.00,6.00,0.00,0.00,110.34%,168,160,176.00,8.00,0.00,0.00,0.00,110.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,176,151.5,152.00,24.00,0.50,0.00,0.00,100.33%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,152,160.00,8.00,0.00,0.00,0.00,105.26%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,"2,080",1790.5,"1,824.00",280.00,9.50,0.00,0.00,101.87%
263,PC - 1,Ralina Jolene,Level 7,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,30-06-2014,Active,,160,144,24.00,16.00,0.00,0.00,120.00,16.67%,184,104,216.00,80.00,0.00,0.00,-112.00,207.69%,176,152,214.00,8.00,16.00,0.00,0.00,140.79%,168,156,149.00,8.00,4.00,0.00,0.00,95.51%,184,168,176.00,16.00,0.00,0.00,0.00,104.76%,168,120,120.00,48.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,164,164.00,8.00,4.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,136,136.00,48.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,"2,080",1736,"1,791.00",320.00,24.00,0.00,8.00,103.17%
264,PC - 2,Annis Maritsa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,30-06-2014,Active,,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,160,160.00,0.00,16.00,0.00,0.00,100.00%,168,161,160.00,0.00,7.00,0.00,0.00,99.38%,184,96,88.00,88.00,0.00,16.00,0.00,91.67%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,128,104.00,48.00,0.00,24.00,0.00,81.25%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,136,136.00,48.00,0.00,0.00,0.00,100.00%,160,160,96.00,0.00,0.00,0.00,64.00,60.00%,176,144,208.00,32.00,0.00,0.00,-64.00,144.44%,"2,080",1769,"1,736.00",288.00,23.00,40.00,0.00,98.13%
265,PC - 2,Biddie Alidia,Level 7,Location 7,Client Service Staff,Resigned,Terza Gwyn,30-06-2014,Resigned,30-06-2017,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,8,8,8.00,0.00,0.00,0.00,8.00,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,352,336,336.00,16.00,0.00,0.00,8.00,100.00%
268,PC - 3,Lane Ailina,Level 5,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,30-06-2014,Active,,160,160,48.00,0.00,0.00,0.00,120.00,30.00%,184,160,8.00,24.00,0.00,0.00,144.00,5.00%,176,176,264.00,0.00,0.00,0.00,-32.00,150.00%,168,152,248.00,16.00,0.00,0.00,8.00,163.16%,184,168,96.00,16.00,0.00,0.00,72.00,57.14%,168,152,112.00,16.00,0.00,0.00,40.00,73.68%,176,160,96.00,16.00,0.00,0.00,80.00,60.00%,176,172,0.00,4.00,0.00,0.00,172.00,0.00%,168,72,56.00,56.00,40.00,0.00,16.00,77.78%,184,168,40.00,16.00,0.00,0.00,128.00,23.81%,160,112,144.00,48.00,0.00,0.00,-24.00,128.57%,176,168,128.00,8.00,0.00,0.00,40.00,76.19%,"2,080",1820,"1,240.00",220.00,40.00,0.00,764.00,68.13%
270,PC - 1,Marcelia Ruthie,Level 7,Location 3,Client Service Staff,Confirmed Staff,Conni Athene,30-06-2014,Active,,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,184,184,168.00,0.00,0.00,0.00,16.00,91.30%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,166,120.00,16.00,2.00,0.00,54.00,72.29%,168,168,128.00,0.00,0.00,0.00,40.00,76.19%,176,128,136.00,40.00,8.00,0.00,-8.00,106.25%,176,159.5,164.00,8.00,8.50,0.00,3.50,102.82%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,152,152.00,32.00,0.00,0.00,0.00,100.00%,160,150.75,150.75,8.00,1.25,0.00,0.00,100.00%,176,80,80.00,96.00,0.00,0.00,0.00,100.00%,"2,080",1820.25,"1,722.75",240.00,19.75,0.00,105.50,94.64%
271,PC - 2,Kat Kirbie,Level 7,Location 7,Client Service Staff,Resigned,Frances Mignonne,31-07-2014,Resigned,31-08-2017,160,152,112.00,8.00,0.00,0.00,40.00,73.68%,184,168,0.00,16.00,0.00,0.00,168.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,168,200.00,0.00,0.00,0.00,-40.00,119.05%,168,168,120.00,0.00,0.00,0.00,72.00,71.43%,0,0,0.00,0.00,0.00,0.00,8.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,856,832,432.00,24.00,0.00,0.00,424.00,51.92%
272,PC - 3,Kissee Florence,Level 6,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,31-08-2014,Active,,160,160,32.00,0.00,0.00,0.00,136.00,20.00%,184,176,88.00,8.00,0.00,0.00,96.00,50.00%,176,168,128.00,8.00,0.00,40.00,-8.00,76.19%,168,168,160.00,0.00,0.00,0.00,8.00,95.24%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,176,160,72.00,16.00,0.00,0.00,88.00,45.00%,176,176,0.00,0.00,0.00,0.00,184.00,0.00%,168,96,332.00,40.00,32.00,0.00,-136.00,345.83%,184,152,154.00,32.00,0.00,0.00,0.00,101.32%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,160,148.00,16.00,0.00,0.00,16.00,92.50%,"2,080",1888,"1,586.00",160.00,32.00,40.00,384.00,84.00%
795,PC - 3,Dominic Kopczynski,Level 7,Location 1,Client Service Staff,Confirmed Staff,Vonni Bethena,30-09-2014,Active,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176,148,120.00,24.00,4.00,0.00,32.00,81.08%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,168,95.5,95.50,72.00,0.50,0.00,0.00,100.00%,184,88,88.00,96.00,0.00,0.00,0.00,100.00%,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,176,152,56.00,24.00,0.00,0.00,96.00,36.84%,"1,040",779.5,655.50,256.00,4.50,0.00,128.00,84.09%
275,PC - 3,Cordula Devan,Level 5,Location 1,Client Service Staff,Confirmed Staff,Guenevere Florida,30-09-2014,Active,,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,184,176,48.00,8.00,0.00,0.00,152.00,27.27%,176,168,104.00,8.00,0.00,0.00,72.00,61.90%,168,168,120.00,0.00,0.00,0.00,40.00,71.43%,184,160,48.00,24.00,0.00,0.00,120.00,30.00%,168,128,140.00,40.00,0.00,0.00,0.00,109.38%,176,160,95.00,16.00,0.00,0.00,66.00,59.38%,176,168,60.00,8.00,0.00,0.00,108.00,35.71%,168,120,128.00,48.00,0.00,0.00,16.00,106.67%,184,152,80.00,32.00,0.00,0.00,72.00,52.63%,160,120,128.00,40.00,0.00,0.00,-8.00,106.67%,176,88,80.00,88.00,0.00,0.00,8.00,90.91%,"2,080",1760,"1,031.00",320.00,0.00,0.00,798.00,58.58%
276,PC - 3,Andee Hermione,Level 6,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,30-09-2014,Active,,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,184,176,0.00,8.00,0.00,0.00,176.00,0.00%,176,144,24.00,32.00,0.00,0.00,120.00,16.67%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,176,136,63.00,40.00,0.00,0.00,73.00,46.32%,176,160,0.00,16.00,0.00,0.00,160.00,0.00%,168,144,0.00,24.00,0.00,0.00,144.00,0.00%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,"2,080",1952,87.00,128.00,0.00,0.00,"1,865.00",4.46%
277,PC - 3,Nikaniki Alysa,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tiena Hatti,30-09-2014,Active,,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,16.00,0.00,100.00%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,176,184.00,8.00,0.00,0.00,0.00,104.55%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,168,96,96.00,72.00,0.00,0.00,0.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,"2,080",1936,"1,936.00",144.00,0.00,16.00,0.00,100.00%
278,PC - 1,Kizzee Lind,Level 6,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,30-09-2014,Active,,160,144,144.00,16.00,0.00,0.00,0.00,100.00%,184,176,152.00,8.00,0.00,0.00,24.00,86.36%,176,168,192.00,8.00,0.00,0.00,-24.00,114.29%,168,104,96.00,56.00,8.00,0.00,0.00,92.31%,184,112,120.00,72.00,0.00,0.00,0.00,107.14%,168,152,152.00,16.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,144,144.00,32.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,143,143.00,16.00,1.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,"2,080",1743,"1,743.00",328.00,9.00,0.00,0.00,100.00%
280,PC - 2,Diana Ardelis,Level 7,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,31-10-2014,Active,,160,120,0.00,40.00,0.00,0.00,120.00,0.00%,184,32,152.00,152.00,0.00,0.00,-120.00,475.00%,176,176,56.00,0.00,0.00,0.00,120.00,31.82%,168,168,120.00,0.00,0.00,0.00,48.00,71.43%,184,184,352.00,0.00,0.00,0.00,-168.00,191.30%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,176,144.00,0.00,0.00,0.00,32.00,81.82%,168,116,148.00,40.00,12.00,0.00,-32.00,127.59%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,"2,080",1772,"1,772.00",296.00,12.00,0.00,0.00,100.00%
284,PC - 3,Penelope Merilee,Level 6,Location 1,Client Service Staff,Confirmed Staff,Kathye Edna,30-11-2014,Active,,160,152,60.00,8.00,0.00,0.00,92.00,39.47%,184,168,158.00,16.00,0.00,0.00,10.00,94.05%,176,136,96.00,40.00,0.00,0.00,40.00,70.59%,168,152,132.00,16.00,0.00,0.00,24.00,86.84%,184,148,84.00,36.00,0.00,0.00,64.00,56.76%,168,144,108.00,24.00,0.00,0.00,36.00,75.00%,176,160,104.00,16.00,0.00,0.00,56.00,65.00%,176,112,76.00,64.00,0.00,0.00,36.00,67.86%,168,120,116.00,48.00,0.00,0.00,4.00,96.67%,184,127,105.00,56.00,1.00,0.00,22.00,82.68%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,160,96.00,16.00,0.00,0.00,64.00,60.00%,"2,080",1739,"1,295.00",340.00,1.00,0.00,448.00,74.47%
285,PC - 2,Gerta Teddi,Level 8,Location 7,Client Service Staff,Resigned,Cassandra Katerina,30-11-2014,Resigned,31-12-2017,160,152,72.00,8.00,0.00,0.00,80.00,47.37%,184,64,0.00,120.00,0.00,0.00,64.00,0.00%,176,152,118.00,24.00,0.00,0.00,34.00,77.63%,168,168,128.00,0.00,0.00,0.00,40.00,76.19%,184,152,116.00,32.00,0.00,0.00,36.00,76.32%,168,148,112.00,16.00,4.00,0.00,50.00,75.68%,176,136,112.00,40.00,0.00,0.00,24.00,82.35%,176,167.5,88.00,8.00,0.50,0.00,79.50,52.54%,128,128,0.00,0.00,0.00,0.00,128.00,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,520",1267.5,746.00,248.00,4.50,0.00,535.50,58.86%
287,PC - 2,Avis Hilliary,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,30-11-2014,Active,,160,132,156.00,8.00,20.00,0.00,0.00,118.18%,184,164,260.00,16.00,4.00,0.00,0.00,158.54%,176,168,160.00,8.00,0.00,0.00,64.00,95.24%,168,120,120.00,48.00,0.00,0.00,0.00,100.00%,184,168,190.00,16.00,0.00,0.00,0.00,113.10%,168,160,48.00,8.00,0.00,0.00,112.00,30.00%,176,152,264.00,24.00,0.00,0.00,-112.00,173.68%,176,168,136.00,0.00,8.00,0.00,32.00,80.95%,168,128,136.00,40.00,0.00,0.00,88.00,106.25%,184,144,144.00,40.00,0.00,0.00,0.00,100.00%,160,152,144.00,8.00,0.00,0.00,8.00,94.74%,176,160,351.00,16.00,0.00,0.00,41.00,219.38%,"2,080",1816,"2,109.00",232.00,32.00,0.00,233.00,116.13%
288,PC - 2,Noel Darcee,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,30-11-2014,Active,,160,152,32.00,8.00,0.00,0.00,120.00,21.05%,184,184,56.00,0.00,0.00,0.00,128.00,30.43%,176,116,96.00,40.00,20.00,0.00,24.00,82.76%,168,64,116.00,104.00,0.00,0.00,0.00,181.25%,184,184,142.00,0.00,0.00,0.00,72.00,77.17%,168,168,240.00,0.00,0.00,0.00,-72.00,142.86%,176,168,168.00,8.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,120,120.00,48.00,0.00,0.00,0.00,100.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,160,120,96.00,40.00,0.00,0.00,24.00,80.00%,176,168,144.00,8.00,0.00,0.00,24.00,85.71%,"2,080",1796,"1,562.00",264.00,20.00,0.00,320.00,86.97%
289,PC - 3,Vonni Bethena,Level 4,Location 1,Client Service Staff,Serving Notice Period,Revkah Stephie,30-11-2014,Active,,160,112,0.00,48.00,0.00,0.00,112.00,0.00%,184,176,0.00,8.00,0.00,0.00,152.00,0.00%,176,168,56.00,8.00,0.00,0.00,136.00,33.33%,168,136,0.00,32.00,0.00,0.00,128.00,0.00%,184,176,0.00,8.00,0.00,0.00,152.00,0.00%,168,152,120.00,16.00,0.00,0.00,90.00,78.95%,176,152,0.00,24.00,0.00,0.00,152.00,0.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,168,163,0.00,5.00,0.00,0.00,163.00,0.00%,184,176,0.00,8.00,0.00,0.00,152.00,0.00%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,168,56.00,8.00,0.00,0.00,136.00,33.33%,"2,080",1907,232.00,173.00,0.00,0.00,"1,701.00",12.17%
291,PC - 1,Ardys Katerine,Level 3,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,30-11-2014,Active,,160,152,42.00,8.00,0.00,0.00,152.00,27.63%,184,184,0.00,0.00,0.00,0.00,160.00,0.00%,176,176,0.00,0.00,0.00,0.00,200.00,0.00%,168,136,4.00,0.00,32.00,0.00,124.00,2.94%,184,176,80.00,8.00,0.00,0.00,112.00,45.45%,168,160,160.00,8.00,0.00,72.00,-72.00,100.00%,176,112,8.00,64.00,0.00,104.00,0.00,7.14%,176,176,18.00,0.00,0.00,158.00,0.00,10.23%,168,141,2.00,24.00,3.00,147.00,0.00,1.42%,184,176,42.00,8.00,0.00,134.00,0.00,23.86%,160,160,112.00,0.00,0.00,50.00,0.00,70.00%,176,160,40.00,16.00,0.00,128.00,0.00,25.00%,"2,080",1909,508.00,136.00,35.00,793.00,676.00,26.61%
292,PC - 2,Brina Beverly,Level 7,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,30-11-2014,Active,,160,136,0.00,8.00,16.00,0.00,136.00,0.00%,184,176,207.00,8.00,0.00,0.00,-31.00,117.61%,176,152,257.00,24.00,0.00,0.00,-105.00,169.08%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,157,107.00,24.00,3.00,0.00,56.00,68.15%,168,168,184.00,0.00,0.00,0.00,-16.00,109.52%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,160,160.00,24.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,88,28.00,88.00,0.00,16.00,44.00,31.82%,"2,080",1805,"1,711.00",256.00,19.00,16.00,84.00,94.79%
293,PC - 3,Sonya Josie,Level 7,Location 1,Client Service Staff,Resigned,Kathye Edna,30-11-2014,Resigned,31-05-2017,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,0,0,0.00,0.00,0.00,0.00,16.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,344,344,0.00,0.00,0.00,0.00,360.00,0.00%
294,PC - 3,Astrid Gilly,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tommy Muire,31-12-2014,Active,,160,152,152.00,8.00,0.00,0.00,0.00,100.00%,184,171,173.00,8.00,5.00,0.00,0.00,101.17%,176,165,168.00,8.00,3.00,0.00,0.00,101.82%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,168,168.00,0.00,0.00,0.00,0.00,100.00%,184,184,184.00,0.00,0.00,0.00,0.00,100.00%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,"2,080",2048,"2,053.00",24.00,8.00,0.00,0.00,100.24%
295,PC - 3,Misti Helena,Level 5,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,31-12-2014,Active,,160,152,0.00,8.00,0.00,76.00,82.00,0.00%,184,176,0.00,8.00,0.00,76.00,76.00,0.00%,176,128,24.00,48.00,0.00,64.00,70.50,18.75%,168,168,76.00,0.00,0.00,42.00,42.00,45.24%,184,136,0.00,48.00,0.00,56.00,56.00,0.00%,168,160,144.00,8.00,0.00,24.00,24.00,90.00%,176,152,148.00,24.00,0.00,4.00,6.00,97.37%,176,103.5,104.00,72.00,0.50,0.00,0.00,100.48%,168,128,120.00,40.00,0.00,0.00,8.00,93.75%,184,160,136.00,24.00,0.00,0.00,0.00,85.00%,160,160,144.00,0.00,0.00,0.00,40.00,90.00%,176,168,152.00,8.00,0.00,0.00,16.00,90.48%,"2,080",1791.5,"1,048.00",288.00,0.50,342.00,420.50,58.50%
296,PC - 2,Trenna Mureil,Level 4,Location 7,Client Service Staff,Confirmed Staff (Part-Time 6 Hours),Annnora Gabrielle,31-12-2014,Active,,160,160,32.00,0.00,0.00,128.00,0.00,20.00%,184,184,89.00,0.00,0.00,95.00,0.00,48.37%,176,136,161.00,40.00,0.00,-17.00,0.00,118.38%,168,168,160.00,0.00,0.00,0.00,0.00,95.24%,184,160,0.00,24.00,0.00,168.00,0.00,0.00%,126,118,-20.00,48.00,0.00,140.00,0.00,-16.95%,132,108,66.00,62.00,0.00,48.00,0.00,61.11%,132,112,154.00,56.00,8.00,-38.00,5.00,137.50%,126,88,90.00,78.00,0.00,0.00,0.00,102.27%,138,106,102.00,56.00,16.00,18.00,0.00,96.23%,120,120,2.00,40.00,0.00,118.00,0.00,1.67%,132,116,88.00,56.00,0.00,52.00,0.00,75.86%,"1,778",1576,924.00,460.00,24.00,712.00,5.00,58.63%
